,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21
118,1.0,217,0.0,0,36005025600,1.0,162,0.0,0,0.9708029197080292,133,0.029197080291970802,4
119,1.0,14,0.0,0,36005026400,1.0,15,0.0,0,1.0,4,0.0,0
120,1.0,23,0.0,0,36005026500,1.0,19,0.0,0,1.0,19,0.0,0
121,0.9872611464968153,310,0.012738853503184714,4,36005026602,1.0,227,0.0,0,0.956989247311828,89,0.043010752688172046,4
122,1.0,368,0.0,0,36005026900,1.0,288,0.0,0,0.9701492537313433,130,0.029850746268656716,4
123,1.0,222,0.0,0,36005027300,1.0,144,0.0,0,1.0,97,0.0,0
124,1.0,25,0.0,0,36005027401,1.0,35,0.0,0,0.8823529411764706,30,0.11764705882352941,4
125,1.0,46,0.0,0,36005027402,1.0,49,0.0,0,1.0,21,0.0,0
126,0.9863945578231292,2175,0.013605442176870748,30,36005027600,0.979297365119197,1561,0.02070263488080301,33,0.9713004484304932,1083,0.028699551569506727,32
127,1.0,79,0.0,0,36005027700,1.0,90,0.0,0,1.0,54,0.0,0
128,1.0,165,0.0,0,36005027900,1.0,118,0.0,0,1.0,52,0.0,0
129,1.0,134,0.0,0,36005028100,1.0,81,0.0,0,1.0,50,0.0,0
130,0.9967023907666942,1209,0.0032976092333058533,4,36005028300,0.9958202716823407,953,0.0041797283176593526,4,0.993485342019544,610,0.006514657980456026,4
131,0.9916398713826367,1542,0.008360128617363344,13,36005028400,0.9847942754919499,1101,0.01520572450805009,17,0.9955654101995566,898,0.004434589800443459,4
132,1.0,115,0.0,0,36005028500,1.0,101,0.0,0,1.0,55,0.0,0
133,1.0,110,0.0,0,36005028800,1.0,47,0.0,0,1.0,53,0.0,0
134,0.9635461604831751,4467,0.03645383951682485,169,36005028900,0.9755960729312763,3478,0.024403927068723703,87,1.0,216,0.0,0
135,1.0,155,0.0,0,36005029301,1.0,113,0.0,0,1.0,76,0.0,0
136,0.9876160990712074,319,0.01238390092879257,4,36005029302,1.0,216,0.0,0,0.9692307692307692,126,0.03076923076923077,4
137,1.0,232,0.0,0,36005029500,1.0,180,0.0,0,0.963302752293578,105,0.03669724770642202,4
138,1.0,114,0.0,0,36005029700,1.0,132,0.0,0,1.0,96,0.0,0
139,0.9892183288409704,367,0.01078167115902965,4,36005030000,0.9862068965517241,286,0.013793103448275862,4,1.0,208,0.0,0
140,0.9959016393442623,972,0.004098360655737705,4,36005030200,0.989010989010989,720,0.01098901098901099,8,1.0,375,0.0,0
141,1.0,112,0.0,0,36005030701,1.0,86,0.0,0,1.0,53,0.0,0
142,1.0,83,0.0,0,36005030900,0.9716312056737588,137,0.028368794326241134,4,1.0,79,0.0,0
143,0.9824175824175824,447,0.017582417582417582,8,36005031000,0.9596774193548387,357,0.04032258064516129,15,1.0,80,0.0,0
144,0.9449612403100776,1219,0.05503875968992248,71,36005032600,0.9920508744038156,624,0.00794912559618442,5,0.9410852713178295,607,0.05891472868217054,38
145,1.0,322,0.0,0,36005033000,0.9834710743801653,238,0.01652892561983471,4,0.9576719576719577,181,0.042328042328042326,8
146,0.9735435353809913,10745,0.026456464619008788,292,36005033400,0.9449003516998827,7254,0.05509964830011723,423,0.9094353921940129,4800,0.09056460780598712,478
147,1.0,349,0.0,0,36005033500,0.9838056680161943,243,0.016194331983805668,4,0.9523809523809523,160,0.047619047619047616,8
148,0.98796992481203,657,0.012030075187969926,8,36005033600,0.9705093833780161,362,0.029490616621983913,11,0.9699248120300752,258,0.03007518796992481,8
149,0.9869706840390879,606,0.013029315960912053,8,36005033700,0.972318339100346,562,0.02768166089965398,16,0.9514563106796117,294,0.04854368932038835,15
150,1.0,37,0.0,0,36005034000,1.0,40,0.0,0,1.0,8,0.0,0
151,1.0,8,0.0,0,36005034300,1.0,18,0.0,0,1.0,9,0.0,0
152,0.9439288476411446,2441,0.056071152358855375,145,36005034800,0.9141696292534282,3600,0.08583037074657186,338,0.9063109954456734,1393,0.0936890045543266,144
153,0.953880764904387,848,0.04611923509561305,41,36005035600,0.9458128078817734,576,0.054187192118226604,33,0.9393258426966292,418,0.060674157303370786,27
154,0.9819004524886877,217,0.01809954751131222,4,36005035800,1.0,184,0.0,0,1.0,144,0.0,0
155,1.0,28,0.0,0,36005036100,0.9285714285714286,52,0.07142857142857142,4,1.0,29,0.0,0
156,0.9970149253731343,1336,0.0029850746268656717,4,36005036300,0.9732984293193717,1859,0.026701570680628273,51,0.9751532033426183,8752,0.024846796657381615,223
157,1.0,295,0.0,0,36005036502,0.9833333333333333,236,0.016666666666666666,4,1.0,134,0.0,0
158,1.0,161,0.0,0,36005036700,1.0,92,0.0,0,1.0,36,0.0,0
159,1.0,196,0.0,0,36005036901,0.9655172413793104,224,0.034482758620689655,8,1.0,68,0.0,0
160,1.0,215,0.0,0,36005036902,0.9796954314720813,193,0.02030456852791878,4,1.0,63,0.0,0
161,0.9725765306122449,3050,0.0274234693877551,86,36005037100,0.9935358758888171,1537,0.006464124111182934,10,0.9609144542772862,1303,0.03908554572271387,53
162,1.0,370,0.0,0,36005037300,1.0,296,0.0,0,1.0,190,0.0,0
163,0.9716981132075472,412,0.02830188679245283,12,36005037400,0.9791666666666666,188,0.020833333333333332,4,1.0,147,0.0,0
164,1.0,414,0.0,0,36005037504,1.0,406,0.0,0,0.9759036144578314,162,0.024096385542168676,4
165,0.9964633068081344,1127,0.0035366931918656055,4,36005037800,0.9956140350877193,908,0.0043859649122807015,4,0.9938271604938271,644,0.006172839506172839,4
166,0.9645542427497314,1796,0.03544575725026853,66,36005037900,0.9627906976744186,414,0.037209302325581395,16,1.0,139,0.0,0
167,0.9498412698412698,2992,0.05015873015873016,158,36005038100,0.9577367841409692,6957,0.04226321585903084,307,0.9598556608028868,2128,0.040144339197113216,89
168,0.9738562091503268,149,0.026143790849673203,4,36005038301,1.0,77,0.0,0,1.0,57,0.0,0
169,0.994314143567875,1399,0.005685856432125089,8,36005038302,0.9981447124304267,2152,0.0018552875695732839,4,0.9860869565217392,1134,0.01391304347826087,16
170,1.0,338,0.0,0,36005038500,1.0,248,0.0,0,0.972972972972973,144,0.02702702702702703,4
171,1.0,244,0.0,0,36005038600,1.0,198,0.0,0,1.0,91,0.0,0
172,0.9982646420824295,2301,0.0017353579175704988,4,36005038700,0.9888017917133258,1766,0.011198208286674132,20,1.0,706,0.0,0
173,1.0,170,0.0,0,36005038900,1.0,132,0.0,0,1.0,168,0.0,0
174,1.0,9,0.0,0,36005039000,1.0,4,0.0,0,1.0,4,0.0,0
175,1.0,316,0.0,0,36005039100,1.0,284,0.0,0,1.0,212,0.0,0
176,1.0,274,0.0,0,36005039500,1.0,247,0.0,0,1.0,60,0.0,0
177,0.8414242832004969,8129,0.15857571679950316,1532,36005039700,0.9636734693877551,4722,0.036326530612244896,178,0.9403174603174603,1481,0.059682539682539684,94
178,1.0,42,0.0,0,36005039800,1.0,32,0.0,0,1.0,28,0.0,0
179,0.993322203672788,595,0.00667779632721202,4,36005039901,0.9903614457831326,411,0.00963855421686747,4,1.0,184,0.0,0
180,1.0,71,0.0,0,36005040502,1.0,112,0.0,0,1.0,60,0.0,0
181,0.9322033898305084,55,0.06779661016949153,4,36005040600,1.0,36,0.0,0,1.0,20,0.0,0
