,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_perct_20_19,high_low_perct_21_20
67,0.679802956,276,0.320197044,130,36005016900,0.711678832,195,0.288321168,79,0.745341615,120,0.254658385,41,-0.293478261,-0.384615385,-0.64556962,-0.481012658,146,116,79,0.352091359,0.096397274
68,0.716923077,233,0.283076923,92,36005017100,0.626198083,196,0.373801917,117,0.589041096,86,0.410958904,60,-0.158798283,-0.56122449,0.213675214,-0.487179487,141,79,26,-0.372473497,-0.074045003
69,0.77892562,377,0.22107438,107,36005017300,0.755474453,414,0.244525547,134,0.764705882,156,0.235294118,48,0.098143236,-0.623188406,0.201492537,-0.641791045,270,280,108,-0.103349301,0.018602639
70,0.693581781,335,0.306418219,148,36005017500,0.675603217,252,0.324396783,121,0.704402516,112,0.295597484,47,-0.247761194,-0.555555556,-0.223140496,-0.611570248,187,131,65,-0.024620698,0.056014692
71,0.610169492,108,0.389830508,69,36005017702,0.756756757,140,0.243243243,45,0.625,35,0.375,21,0.296296296,-0.75,-0.533333333,-0.533333333,39,95,14,0.82962963,-0.216666667
72,0.658536585,405,0.341463415,210,36005017902,0.587822014,251,0.412177986,176,0.64893617,122,0.35106383,66,-0.380246914,-0.513944223,-0.193181818,-0.625,195,75,56,-0.187065095,0.111055777
73,0.75,495,0.25,165,36005018102,0.786686838,520,0.213313162,141,0.782608696,72,0.217391304,20,0.050505051,-0.861538462,-0.170212766,-0.858156028,330,379,52,0.220717816,-0.003382433
74,0.582441113,272,0.417558887,195,36005018400,0.636212625,383,0.363787375,219,0.614609572,244,0.385390428,153,0.408088235,-0.362924282,0.109589041,-0.301369863,77,164,91,0.298499194,-0.061554419
75,0.827067669,990,0.172932331,207,36005018500,0.773403325,884,0.226596675,259,0.78125,425,0.21875,119,-0.107070707,-0.519230769,0.200772201,-0.540540541,783,625,306,-0.307842908,0.021309771
76,0.790087464,271,0.209912536,72,36005018900,0.766756032,286,0.233243968,87,0.775956284,142,0.224043716,41,0.055350554,-0.503496503,0.172413793,-0.528735632,199,199,101,-0.11706324,0.025239129
77,0.815242494,353,0.184757506,80,36005019300,0.887850467,285,0.112149533,36,0.831932773,99,0.168067227,20,-0.192634561,-0.652631579,-1.222222222,-0.444444444,273,249,79,1.029587661,-0.208187135
78,0.742227979,573,0.257772021,199,36005019500,0.820168067,488,0.179831933,107,0.789617486,289,0.210382514,77,-0.148342059,-0.407786885,-0.859813084,-0.280373832,374,381,212,0.711471025,-0.127413053
79,0.821497121,428,0.178502879,93,36005019700,0.806451613,375,0.193548387,90,0.77734375,199,0.22265625,57,-0.123831776,-0.469333333,-0.033333333,-0.366666667,335,285,142,-0.090498442,-0.102666667
80,0.839622642,89,0.160377358,17,36005019900,0.96039604,97,0.03960396,4,0.833333333,20,0.166666667,4,0.08988764,-0.793814433,-3.25,0,72,93,16,3.33988764,-0.793814433
81,0.578175896,355,0.421824104,259,36005020000,0.598825832,306,0.401174168,205,0.584507042,166,0.415492958,118,-0.138028169,-0.45751634,-0.263414634,-0.424390244,96,101,48,0.125386465,-0.033126096
82,0.595689092,912,0.404310908,619,36005020100,0.679646018,768,0.320353982,362,0.557863501,376,0.442136499,298,-0.157894737,-0.510416667,-0.709944751,-0.17679558,293,406,78,0.552050015,-0.333621087
83,0.478723404,90,0.521276596,98,36005020200,0.533088235,145,0.466911765,127,0.56097561,46,0.43902439,36,0.611111111,-0.682758621,0.228346457,-0.716535433,-8,18,10,0.382764654,0.033776812
84,0.235294118,8,0.764705882,26,36005020400,0.340425532,16,0.659574468,31,0.413793103,12,0.586206897,17,1,-0.25,0.161290323,-0.451612903,-18,-15,-5,0.838709677,0.201612903
85,0.74011976,618,0.25988024,217,36005020501,0.724867725,411,0.275132275,156,0.791327913,292,0.208672087,77,-0.334951456,-0.289537713,-0.391025641,-0.506410256,401,255,215,0.056074185,0.216872544
86,0.618110236,157,0.381889764,97,36005020502,0.660098522,134,0.339901478,69,0.595744681,56,0.404255319,38,-0.146496815,-0.582089552,-0.405797101,-0.449275362,60,65,18,0.259300286,-0.13281419
87,0.753779698,349,0.246220302,114,36005020900,0.807228916,201,0.192771084,48,0.716312057,101,0.283687943,40,-0.424068768,-0.497512438,-1.375,-0.166666667,235,153,61,0.950931232,-0.330845771
88,0.641646489,530,0.358353511,296,36005021001,0.666666667,916,0.333333333,458,0.660839161,189,0.339160839,97,0.728301887,-0.793668122,0.35371179,-0.788209607,234,458,92,0.374590096,-0.005458515
89,0.751633987,115,0.248366013,38,36005021002,0.708333333,119,0.291666667,49,0.68,34,0.32,16,0.034782609,-0.714285714,0.224489796,-0.673469388,77,70,18,-0.189707187,-0.040816327
90,0.782945736,101,0.217054264,28,36005021100,0.777777778,56,0.222222222,16,0.836734694,41,0.163265306,8,-0.445544554,-0.267857143,-0.75,-0.5,73,40,33,0.304455446,0.232142857
91,0.767263427,300,0.232736573,91,36005021302,0.697183099,198,0.302816901,86,0.693877551,170,0.306122449,75,-0.34,-0.141414141,-0.058139535,-0.127906977,209,112,95,-0.281860465,-0.013507165
92,0.690607735,375,0.309392265,168,36005021501,0.636206897,369,0.363793103,211,0.597560976,147,0.402439024,99,-0.016,-0.601626016,0.203791469,-0.530805687,207,158,48,-0.219791469,-0.070820329
93,0.736842105,28,0.263157895,10,36005021502,0.533333333,16,0.466666667,14,0.5,4,0.5,4,-0.428571429,-0.75,0.285714286,-0.714285714,18,2,0,-0.714285714,-0.035714286
94,0.774011299,137,0.225988701,40,36005021601,0.765625,196,0.234375,60,0.855855856,95,0.144144144,16,0.430656934,-0.515306122,0.333333333,-0.733333333,97,136,79,0.097323601,0.218027211
95,0.716730038,754,0.283269962,298,36005021602,0.704103672,652,0.295896328,274,0.706552707,248,0.293447293,103,-0.135278515,-0.619631902,-0.087591241,-0.624087591,456,378,145,-0.047687274,0.004455689
96,0.734104046,254,0.265895954,92,36005021800,0.574468085,162,0.425531915,120,0.707317073,87,0.292682927,36,-0.362204724,-0.462962963,0.233333333,-0.7,162,42,51,-0.595538058,0.237037037
97,0.716720779,883,0.283279221,349,36005021900,0.743889479,700,0.256110521,241,0.730582524,301,0.269417476,111,-0.207248018,-0.57,-0.44813278,-0.539419087,534,459,190,0.240884762,-0.030580913
98,0.544262295,166,0.455737705,139,36005022000,0.513157895,117,0.486842105,111,0.541176471,46,0.458823529,39,-0.295180723,-0.606837607,-0.252252252,-0.648648649,27,6,7,-0.042928471,0.041811042
99,0.603244838,409,0.396755162,269,36005022200,0.658040665,356,0.341959335,185,0.714285714,185,0.285714286,74,-0.129584352,-0.480337079,-0.454054054,-0.6,140,171,111,0.324469702,0.119662921
100,0.549354244,1191,0.450645756,977,36005022403,0.549042368,946,0.450957632,777,0.532064128,531,0.467935872,467,-0.205709488,-0.438689218,-0.257400257,-0.398970399,214,169,64,0.05169077,-0.039718819
101,0.817813765,404,0.182186235,90,36005022500,0.786637931,365,0.213362069,99,0.776649746,153,0.223350254,44,-0.096534653,-0.580821918,0.090909091,-0.555555556,314,266,109,-0.187443744,-0.025266362
102,0.644444444,261,0.355555556,144,36005022701,0.6475,259,0.3525,141,0.780701754,89,0.219298246,25,-0.007662835,-0.656370656,-0.021276596,-0.822695035,117,118,64,0.01361376,0.166324379
103,0.683042789,431,0.316957211,200,36005022702,0.762979684,338,0.237020316,105,0.70754717,150,0.29245283,62,-0.215777262,-0.556213018,-0.904761905,-0.40952381,231,233,88,0.688984643,-0.146689208
104,0.567679558,411,0.432320442,313,36005022901,0.661101836,396,0.338898164,203,0.757225434,131,0.242774566,42,-0.03649635,-0.669191919,-0.541871921,-0.793103448,98,193,89,0.505375571,0.123911529
105,0.67287234,506,0.32712766,246,36005022902,0.702702703,390,0.297297297,165,0.694736842,264,0.305263158,116,-0.229249012,-0.323076923,-0.490909091,-0.296969697,260,225,148,0.261660079,-0.026107226
