,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,mar_19,mar_20,mar_21
tract_id,,,
36061006500,62873.0,74725.0,27192.0
36061006600,36827.0,17247.0,16220.0
36061006700,31845.0,12457.0,9229.0
36061006800,60896.0,27392.0,11746.0
36061006900,15953.0,7233.0,5955.0
36061007000,51482.0,13314.0,9058.0
36061007100,29628.0,11831.0,8611.0
36061007200,43817.0,19640.0,14153.0
36061007300,29525.0,9716.0,7351.0
36061007400,92211.0,36530.0,22216.0
36061007500,28311.0,13228.0,12647.0
36061007600,125626.0,45058.0,23142.0
36061007700,39749.0,14763.0,13191.0
36061007800,27030.0,13693.0,11740.0
36061007900,49606.0,15695.0,10383.0
36061008000,64433.0,28006.0,12465.0
36061008100,57180.0,24739.0,13984.0
36061008200,73015.0,29242.0,12083.0
36061008300,90061.0,25003.0,10972.0
36061008400,100062.0,38933.0,21955.0
36061008601,9528.0,7395.0,5439.0
36061008602,8722.0,3765.0,602.0
36061008603,8410.0,5237.0,4158.0
36061008700,33451.0,11731.0,7560.0
36061008800,47840.0,20074.0,11314.0
36061008900,25967.0,10890.0,5971.0
36061009000,59295.0,24949.0,12336.0
36061009100,60605.0,22871.0,12024.0
36061009200,192105.0,69842.0,23209.0
36061009300,22377.0,10024.0,7297.0
36061009400,109201.0,35699.0,23551.0
36061009500,70039.0,29384.0,13160.0
36061009600,130310.0,49692.0,32428.0
36061009700,21852.0,75893.0,10011.0
36061009800,57364.0,22433.0,14226.0
36061009900,174380.0,71231.0,61328.0
36061010000,98265.0,41574.0,18948.0
36061010100,270585.0,101787.0,41139.0
36061010200,91173.0,34990.0,15659.0
36061010300,63123.0,31561.0,20043.0
36061010400,167605.0,58090.0,22913.0
36061010601,26718.0,17070.0,10811.0
36061010602,16292.0,8848.0,6869.0
36061010800,53514.0,25432.0,14177.0
36061010900,147851.0,51919.0,30857.0
36061011000,36466.0,16568.0,11601.0
36061011100,74217.0,32034.0,17645.0
36061011201,53285.0,19854.0,8469.0
36061011202,46931.0,17718.0,9214.0
36061011203,33470.0,13750.0,7713.0
36061011300,218601.0,81931.0,35226.0
36061011401,39057.0,14011.0,9814.0
36061011402,33103.0,15329.0,11133.0
36061011500,124230.0,53169.0,26281.0
36061011600,124897.0,81457.0,61988.0
36061011700,22843.0,10820.0,8790.0
36061011800,48556.0,42548.0,41376.0
36061011900,233597.0,81706.0,22449.0
36061012000,46853.0,22018.0,9265.0
36061012100,76278.0,39312.0,13001.0
36061012200,20384.0,10480.0,8097.0
36061012400,37323.0,23874.0,18281.0
36061012500,223824.0,76016.0,24186.0
36061012600,50264.0,19692.0,12794.0
36061012700,68857.0,30614.0,9977.0
